DMSO,Nutlin
DPY19L4P1_hg38,ENSG00000224194_hg38
CCNB1IP1P1_hg38,ENSG00000291239_hg38
ENSG00000203498_hg38,OR2A5_hg38
DLEC1P1_hg38,ZNF402P_hg38
SHISA5P2_hg38,FTH1P8_hg38
ENSG00000228153_hg38,TMEM202_hg38
KRT17P7_hg38,SEC14L6_hg38
HOXD13_hg38,AZGP1P1_hg38
ENSG00000226576_hg38,RPL21P75_hg38
ENSG00000227062_hg38,TMEM26_hg38
RPSAP61_hg38,MIR320A_hg38
SDHDP2_hg38,LINC01531_hg38
RBMY2JP_hg38,RNU6-485P_hg38
RPL21P18_hg38,U3_hg38-7
RPL7AP34_hg38,AIF1_hg38
IL6_hg38,C8orf90_hg38
NXNP1_hg38,ENSG00000226971_hg38
ENSG00000227365_hg38,ENSG00000232939_hg38
MINDY4B_hg38,PFN1P6_hg38
LINC01624_hg38,C8A_hg38
ENSG00000214243_hg38,ATP5MGP2_hg38
ENSG00000227683_hg38,ENSG00000232359_hg38
GSTM3P1_hg38,ENSG00000232245_hg38
ENSG00000227705_hg38,LINC01104_hg38
CYCSP5_hg38,ENSG00000231756_hg38
MIR219A2HG_hg38,EIF4A1P11_hg38
ENSG00000227834_hg38,PTCHD3P2_hg38
RNU6-15P_hg38,CTNNBL1P1_hg38
ENSG00000227948_hg38,OR2AJ1_hg38
FAM99B_hg38,ENSG00000230721_hg38
BUB3P1_hg38,MRPL35P4_hg38
MTND5P1_hg38,ENSG00000230680_hg38
CFL1P3_hg38,ENSG00000203520_hg38
HLA-U_hg38,RNASE10_hg38
ENSG00000230285_hg38,OOSP2_hg38
ANAPC1P3_hg38,LINC01672_hg38
XXYLT1-AS1_hg38,ENSG00000228538_hg38
LINC01678_hg38,TREML3P_hg38
LINC00269_hg38,LINC01649_hg38
SLC17A4_hg38,RPL37P1_hg38
LINC01873_hg38,H3P13_hg38
HOXC12_hg38,RN7SKP297_hg38
ENSG00000232271_hg38,RNU11_hg38
H2BC1_hg38,ENSG00000255899_hg38
ENSG00000232327_hg38,ENSG00000248648_hg38
THUMPD1P1_hg38,ENSG00000260171_hg38
FAM230G_hg38,PDE3A-AS1_hg38
LRRK2-DT_hg38,ENSG00000270497_hg38
TMEM72_hg38,CHEK2P2_hg38
HMGN2P11_hg38,ENSG00000251017_hg38
LINC00237_hg38,IGBP1P4_hg38
LINC01747_hg38,ENSG00000286117_hg38
HNRNPDP1_hg38,ENSG00000286159_hg38
KRT26_hg38,ENSG00000270212_hg38
KAT7P1_hg38,ENSG00000270204_hg38
ZNF705G_hg38,ENSG00000250024_hg38
LINC00363_hg38,RN7SL405P_hg38
RPL18AP2_hg38,ENSG00000260741_hg38
FAM230B_hg38,ENSG00000286639_hg38
HMGN2P20_hg38,ENSG00000272027_hg38
ATP4B_hg38,ENSG00000260608_hg38
LINC02634_hg38,TSIX_hg38
PGAM1P4_hg38,RN7SL353P_hg38
SLC28A3-AS1_hg38,LINC02174_hg38
ENSG00000231978_hg38,ENSG00000258202_hg38
OR11H13P_hg38,ENSG00000279815_hg38
AKAIN1_hg38,LINC01238_hg38-1
NR0B2_hg38,ENSG00000279262_hg38
ENSG00000202434_hg38,RPL6P32_hg38
ENSG00000214651_hg38,ENSG00000258503_hg38
ENSG00000225916_hg38,Metazoa_SRP_hg38-165
RBP4_hg38,LINC02498_hg38
SNORA63E_hg38,ENSG00000271222_hg38
IMPDH1P3_hg38,ENSG00000262343_hg38
LINC00692_hg38,ENSG00000249166_hg38
EI24P3_hg38,HISLA_hg38
PDE6H_hg38,ENSG00000258050_hg38
RPL36AP39_hg38,ENSG00000250038_hg38
RPL22P24_hg38,ENSG00000271025_hg38
SLAIN1_hg38,LDHBP3_hg38
FDPSP7_hg38,RPS3AP4_hg38
PTPRD-AS1_hg38,ENSG00000286906_hg38
RTP2_hg38,ENSG00000277866_hg38
ZIM3_hg38,ENSG00000286957_hg38
COX11P1_hg38,LINC02740_hg38
HNRNPA3P15_hg38,ENSG00000259695_hg38
TRIM43_hg38,ENSG00000289203_hg38
ENSG00000231297_hg38,ENSG00000289290_hg38
ENSG00000225532_hg38,ENSG00000255233_hg38
ENSG00000225531_hg38,ENSG00000250507_hg38
ENSG00000225522_hg38,LINC02748_hg38
OR7E122P_hg38,ENSG00000259950_hg38
ENSG00000231804_hg38,ENSG00000289707_hg38
LINC00189_hg38,ENSG00000290060_hg38
CD48_hg38,ENSG00000289080_hg38
LINC02271_hg38,ENSG00000255092_hg38
LINC01387_hg38,ENSG00000275263_hg38
SIGLEC20P_hg38,RPSAP66_hg38
ENSG00000267732_hg38,TBC1D3P5_hg38-1
ENSG00000267582_hg38,ENSG00000254616_hg38
GGTLC2_hg38,ENSG00000290529_hg38
ENSG00000267245_hg38,HMGB3P27_hg38
ENSG00000267243_hg38,ENSG00000290938_hg38
ENSG00000267166_hg38,ENSG00000267372_hg38
ENSG00000267032_hg38,RBISP2_hg38
ENSG00000267005_hg38,CCL15-CCL14_hg38
RN7SL300P_hg38,LINC02504_hg38
ENSG00000256035_hg38,ENSG00000274507_hg38
RPL5P23_hg38,LINC01566_hg38
NCOR1P2_hg38,IGFL1P1_hg38
BDP1P_hg38,ENSG00000265671_hg38
ENSG00000264012_hg38,ENSG00000250658_hg38
C19orf84_hg38,ENSG00000287719_hg38
ENSG00000262332_hg38,ENSG00000287748_hg38
DHX33-DT_hg38,HCAR3_hg38
ENSG00000261707_hg38,ELMO2P1_hg38
ENSG00000261653_hg38,FGF20_hg38
ENSG00000269489_hg38,APOC4_hg38
ENSG00000269792_hg38,ENSG00000253155_hg38
ENSG00000270182_hg38,SLC13A2_hg38
GTF3C6P3_hg38,ZSCAN30_hg38
ENSG00000273712_hg38,ZNF676_hg38
ENSG00000273682_hg38,ENSG00000260382_hg38
ENSG00000273123_hg38,FOXC2-AS1_hg38
PFKP-DT_hg38,ENSG00000260858_hg38
ENSG00000272855_hg38,PPP3R2_hg38
ENSG00000272128_hg38,ATP8A1-DT_hg38
ENSG00000271494_hg38,ANKRD62P1-PARP4P3_hg38
ENSG00000271350_hg38,POMC_hg38
FOLH1_hg38,ENSG00000260848_hg38
IGLVIVOR22-1_hg38,ENSG00000244630_hg38
ENSG00000270981_hg38,RUNX2-AS1_hg38
LINC00221_hg38,C15orf32_hg38
ENSG00000270708_hg38,ENSG00000266905_hg38
ENSG00000270702_hg38,ESRG_hg38
ENSG00000270614_hg38,TH_hg38
ENSG00000270442_hg38,DEFB123_hg38
PHF5FP_hg38,DEFB119_hg38
ENSG00000270424_hg38,LARP7P3_hg38
ENSG00000270324_hg38,FAM87A_hg38
BBS7-DT_hg38,CSGALNACT2P1_hg38
LINC01613_hg38,ENSG00000265494_hg38
DHX35-DT_hg38,FAM230E_hg38
ENSG00000258693_hg38,ENSG00000265174_hg38
LINC-ROR_hg38,ENSG00000264876_hg38
FAM181A-AS1_hg38,RN7SL237P_hg38
RNASE11-AS1_hg38,ENSG00000261489_hg38
ENSG00000258214_hg38,SNRPGP2_hg38
CLEC4M_hg38,ENSG00000264296_hg38
LINC00485_hg38,DND1P1_hg38
ENSG00000258108_hg38,KARS1P3_hg38
ENSG00000257517_hg38,MMP12_hg38
VENTXP3_hg38,TMPRSS11B_hg38
ENSG00000257264_hg38,TUBB8P7_hg38
FOXG1-AS1_hg38,ENSG00000261789_hg38
KRT127P_hg38,YBX3P1_hg38
LRRC37A13P_hg38,ENSG00000261613_hg38
ENSG00000256972_hg38,FCN1_hg38
LILRB1_hg38,ENSG00000261540_hg38
KNOP1P1_hg38,ENSG00000263637_hg38
LIMS4_hg38,BTBD7P1_hg38
CACNA1C-AS2_hg38,ENSG00000260030_hg38
USP30-AS1_hg38,LINC02414_hg38
ENSG00000258642_hg38,KRT37_hg38
CORO7-PAM16_hg38,RN7SKP232_hg38
GOLGA6GP_hg38,ENSG00000220949_hg38
DUXA_hg38,RPL21P119_hg38
ENSG00000261259_hg38,CACYBPP3_hg38
SLC32A1_hg38,ENSG00000218857_hg38
ENSG00000261043_hg38,HNRNPA1P37_hg38
ENSG00000260975_hg38,ENSG00000223402_hg38
LINC01243_hg38,LINC02468_hg38
ENSG00000260580_hg38,SEPTIN14P6_hg38
MMP2-AS1_hg38,ENSG00000256678_hg38
ENSG00000260109_hg38,RPS3AP24_hg38
MPHOSPH10P1_hg38,ENSG00000217644_hg38
ENSG00000259989_hg38,ENSG00000216285_hg38
OPN1LW_hg38,ENSG00000255437_hg38
LINC02124_hg38,VOPP1-DT_hg38
TFDP1P3_hg38,ENSG00000259909_hg38
ANP32BP3_hg38,ENSG00000255351_hg38
MRPL15P1_hg38,ENSG00000254789_hg38
ENSG00000259425_hg38,RPL26P36_hg38
ENSG00000259098_hg38,TLE4_hg38
ENSG00000259097_hg38,ENSG00000225385_hg38
ENSG00000259055_hg38,SUCLA2P1_hg38
ENSG00000273933_hg38,MIPEPP2_hg38
ENSG00000274019_hg38,ENSG00000224516_hg38
ENSG00000274447_hg38,ENSG00000223539_hg38
ENSG00000288139_hg38,ENSG00000255421_hg38
ENSG00000288083_hg38,HMGB1P9_hg38
ENSG00000287538_hg38,RPL36AP46_hg38
ENSG00000287501_hg38,KRT8P8_hg38
ENSG00000287484_hg38,DIS3L2P1_hg38
ENSG00000287439_hg38,ENSG00000223589_hg38
ENSG00000287391_hg38,LINC01139_hg38
ENSG00000287270_hg38,ARL2BPP3_hg38
ENSG00000287153_hg38,C16orf90_hg38
ENSG00000286981_hg38,LRRC10_hg38
ENSG00000286962_hg38,EIF2S2P1_hg38
SPO11_hg38,ENSG00000203605_hg38
ENSG00000286654_hg38,ENSG00000267048_hg38
ENSG00000286534_hg38,ENSG00000259013_hg38
ENSG00000286529_hg38,LINC02332_hg38
ENSG00000286471_hg38,LINC01595_hg38
ENSG00000286395_hg38,ENSG00000259481_hg38
ENSG00000286348_hg38,KRTAP2-2_hg38
ENSG00000286324_hg38,ENSG00000259545_hg38
MSANTD5_hg38,ENSG00000259569_hg38
ENSG00000288092_hg38,ENSG00000259696_hg38
ENSG00000288162_hg38,ENSG00000259700_hg38
FAM245B_hg38,HRNR_hg38
ENSG00000288245_hg38,ENSG00000259862_hg38
ENSG00000291229_hg38,CST13P_hg38
ENSG00000290665_hg38,KRT25_hg38
ENSG00000290659_hg38,TRBV20OR9-2_hg38
CLCA4_hg38,ENSG00000258572_hg38
ENSG00000290024_hg38,ENSG00000258517_hg38
ENSG00000290006_hg38,PPIAP6_hg38
ENSG00000289892_hg38,ENSG00000258134_hg38
ENSG00000289610_hg38,KRTAP3-1_hg38
ENSG00000289533_hg38,SNRPGP18_hg38
ENSG00000289418_hg38,ENSG00000213150_hg38
ENSG00000289389_hg38,MARCKSL1P1_hg38
ENSG00000289337_hg38,RPS2P17_hg38
ENSG00000289256_hg38,ANXA2P1_hg38
ENSG00000289089_hg38,ENSG00000213663_hg38
ENSG00000289016_hg38,ACTBP15_hg38
ENSG00000288887_hg38,ZNF878_hg38
ENSG00000288790_hg38,RPLP2P1_hg38
ENSG00000288773_hg38,H3P47_hg38
ENSG00000288566_hg38,ENSG00000270147_hg38
ENSG00000285885_hg38,PMM2P2_hg38
ENSG00000285524_hg38,ENSG00000284809_hg38
ENSG00000274451_hg38,ENSG00000283982_hg38
ENSG00000279411_hg38,ENSG00000284534_hg38
ENSG00000279222_hg38,ENSG00000284614_hg38
ENSG00000279152_hg38,ENSG00000284627_hg38
ENSG00000279121_hg38,ENSG00000284665_hg38
ENSG00000278986_hg38,ENSG00000284695_hg38
ENSG00000278944_hg38,DINOL_hg38
ENSG00000278603_hg38,ENSG00000283769_hg38
ENSG00000278592_hg38,ENSG00000285544_hg38
ENSG00000278586_hg38,ENSG00000285628_hg38
ENSG00000277770_hg38,ENSG00000285653_hg38
SNORD26_hg38,ENSG00000285929_hg38
Metazoa_SRP_hg38-91,ENSG00000286050_hg38
MRPL30P1_hg38,ASDURF_hg38
FAM230F_hg38,MIR192_hg38
PRSS2_hg38,ENSG00000283546_hg38
ENSG00000275710_hg38,TPMTP1_hg38
CCL16_hg38,ENSG00000279926_hg38
Metazoa_SRP_hg38-52,IGSF3P1_hg38
ENSG00000274813_hg38,SLAMF9_hg38
RIMBP3B_hg38,ENSG00000279304_hg38
ENSG00000279256_hg38,LINC01666_hg38
ENSG00000279498_hg38,ENSG00000279724_hg38
ENSG00000285413_hg38,ENSG00000279886_hg38
ENSG00000279528_hg38,ENSG00000279971_hg38
ENSG00000285254_hg38,NCOA5LP_hg38
ENSG00000285042_hg38,FRG1KP_hg38
ENSG00000285006_hg38,TRBV25-1_hg38
ENSG00000284728_hg38,ENSG00000283189_hg38
ENSG00000284653_hg38,ENSG00000283213_hg38
ENSG00000284610_hg38,ENSG00000283269_hg38
PERCC1_hg38,SMIM33_hg38
GNG14_hg38,ENSG00000286083_hg38
OASL2P_hg38,ENSG00000286275_hg38
LINC02635_hg38,ENSG00000286377_hg38
PCMTD1P7_hg38,ENSG00000289527_hg38
HERC2P7_hg38,XCL2_hg38
ENSG00000280400_hg38,ENSG00000288535_hg38
LINC01726_hg38,ENSG00000288727_hg38
ENSG00000280060_hg38,ENSG00000289097_hg38
NCOR1P4_hg38,ENSG00000289442_hg38
TRO_hg38,ENSG00000289455_hg38
ENSG00000279687_hg38,ENSG00000289620_hg38
ENSG00000279660_hg38,ENSG00000286441_hg38
ENSG00000256221_hg38,TESPA1_hg38
RN7SL664P_hg38,ENSG00000290061_hg38
SUN5_hg38,ENSG00000290393_hg38
RPS24P16_hg38,ASNSP1_hg38-1
ENSG00000252677_hg38,ENSG00000290454_hg38
ENSG00000243885_hg38,ENSG00000290859_hg38
ENSG00000253189_hg38,ENSG00000288024_hg38
RN7SL807P_hg38,ENSG00000287898_hg38
ABCC13_hg38,ENSG00000287887_hg38
ENSG00000253507_hg38,ENSG00000287775_hg38
HNRNPA1P38_hg38,ENSG00000287647_hg38
RPL5P11_hg38,ENSG00000287463_hg38
ENSG00000254258_hg38,ENSG00000287384_hg38
NPIPA2_hg38,ENSG00000287278_hg38
ENSG00000254297_hg38,ENSG00000287075_hg38
RPS20P23_hg38,ENSG00000287010_hg38
FNTAP1_hg38,ENSG00000286983_hg38
LINC02719_hg38,SPINK7_hg38
ENSG00000242012_hg38,ENSG00000286954_hg38
ETS1-AS1_hg38,ENSG00000286872_hg38
ENSG00000254739_hg38,ENSG00000286668_hg38
ENSG00000241739_hg38,ENSG00000286557_hg38
IARS2P1_hg38,ENSG00000286497_hg38
SLC25A15P3_hg38,OR6Q1_hg38
ENSG00000244255_hg38,ENSG00000279029_hg38
LINC02077_hg38,ENSG00000279025_hg38
LINC02113_hg38,OPN4_hg38
TOMM40P3_hg38,PCDHB8_hg38
ENSG00000249284_hg38,ENSG00000270248_hg38
ENSG00000249175_hg38,XIAPP1_hg38
HSD3BP3_hg38,ENSG00000270480_hg38
ENSG00000249869_hg38,ENSG00000270512_hg38
TRGV7_hg38,ENSG00000270664_hg38
LTV1P1_hg38,ENSG00000270822_hg38
ENSG00000248452_hg38,VDAC3P1_hg38
ENSG00000250348_hg38,NUDT19P4_hg38
LINC02325_hg38,GP2_hg38
ENSG00000244756_hg38,H3P8_hg38
RPL35AP27_hg38,ENSG00000270978_hg38
ENSG00000250567_hg38,IL7R_hg38
ENSG00000244535_hg38,ENSG00000270983_hg38
NT5C1B-RDH14_hg38,ENSG00000270166_hg38
ENSG00000244464_hg38,PIMREGP1_hg38
RN7SL704P_hg38,MAGEB4_hg38
LINC01259_hg38,ENSG00000269707_hg38
KRTAP4-7_hg38,ENSG00000269373_hg38
ENSG00000240774_hg38,ENSG00000269139_hg38
ENSG00000240882_hg38,CDC42EP3P1_hg38
ENSG00000254932_hg38,CT45A1_hg38
ENSG00000255173_hg38,KCNE3_hg38
H2BP3_hg38,ENSG00000268326_hg38
ADAMTS9-AS1_hg38,ENSG00000267780_hg38
LINC02707_hg38,LINC01533_hg38
ENSG00000255037_hg38,UBE2L4_hg38
ENSG00000255093_hg38,ENSG00000267393_hg38
LINC02439_hg38,VCX2_hg38
RN7SL418P_hg38,SH3GL1P3_hg38
CCNG1_hg38,ENSG00000267273_hg38
KIAA1522_hg38,ENSG00000271064_hg38
ANKRD62P1-PARP4P3_hg38,SUMO2P15_hg38
ENSG00000290393_hg38,TEX55_hg38
MTFR2P2_hg38,ENSG00000276693_hg38
LINC02651_hg38,Metazoa_SRP_hg38-79
SPINK7_hg38,SPZ1_hg38
ASNSP1_hg38-1,ENSG00000276266_hg38
ENSG00000278626_hg38,RBBP4P3_hg38
ZNF676_hg38,ENSG00000276519_hg38
IGSF3P1_hg38,ENSG00000276680_hg38
POU5F1P3_hg38,ATP5F1AP10_hg38
OR6Q1_hg38,OR2C1_hg38
ENSG00000279029_hg38,TBC1D3C_hg38
PPP3R2_hg38,ENSG00000278518_hg38
ENSG00000279304_hg38,ENSG00000278528_hg38
Vault_hg38-3,ENSG00000278595_hg38
PCDHB8_hg38,ENSG00000278626_hg38
LINC00402_hg38,Vault_hg38-3
ENSG00000279025_hg38,ENSG00000275607_hg38
MAGEB4_hg38,SLC7A3_hg38
MFRP_hg38,C4BPA_hg38
ENSG00000290061_hg38,ENSG00000274930_hg38
ENSG00000236389_hg38,ENSG00000274903_hg38
RN7SL28P_hg38,ENSG00000274855_hg38
TRBV25-1_hg38,ENSG00000274698_hg38
ENSG00000236299_hg38,DDX3Y_hg38
ENSG00000240792_hg38,ENSG00000274002_hg38
TMPRSS11B_hg38,NETO1_hg38
SLC7A3_hg38,HSBP1P2_hg38
FRG1KP_hg38,ENSG00000273176_hg38
DUX4L26_hg38,ENSG00000273063_hg38
ENSG00000279971_hg38,ENSG00000273011_hg38
ENSG00000279926_hg38,ENSG00000272334_hg38
ENSG00000279886_hg38,ENSG00000271537_hg38
ENSG00000244630_hg38,ENSG00000271267_hg38
PATE3_hg38,CHP1P3_hg38
ENSG00000279724_hg38,LINC01761_hg38
ENSG00000244650_hg38,TJAP1P1_hg38
ENSG00000235988_hg38,POU5F1P3_hg38
LINC01666_hg38,PATE3_hg38
COL25A1-DT_hg38,ENSG00000229370_hg38
ENSG00000278595_hg38,DUX4L26_hg38
TBC1D3C_hg38,SRD5A1P1_hg38
ENSG00000235400_hg38,LINC00112_hg38
ENSG00000278528_hg38,ENSG00000229595_hg38
ENSG00000248926_hg38,LINC01822_hg38
MTATP8P1_hg38,PVALB_hg38
SUMO2P6_hg38,MTND1P3_hg38
NETO1_hg38,ENSG00000239393_hg38
ENSG00000274698_hg38,ENSG00000236299_hg38
LRRC10_hg38,ENSG00000248926_hg38
ENSG00000249109_hg38,ENSG00000236389_hg38
BMP7-AS1_hg38,RRM2P2_hg38
ENSG00000290859_hg38,TNFRSF14-AS1_hg38
HSBP1P2_hg38,BTF3L4P1_hg38
ENSG00000274002_hg38,SALL4P2_hg38
CDC42P1_hg38,ENSG00000229915_hg38
TRBV8-2_hg38,SUMO2P6_hg38
LINC01052_hg38,TRBV8-2_hg38
ENSG00000273176_hg38,ENSG00000253699_hg38
BTBD7P1_hg38,ENSG00000229010_hg38
ENSG00000273063_hg38,FGF10-AS1_hg38
ENSG00000273011_hg38,ENSG00000240915_hg38
ENSG00000203605_hg38,LINC02651_hg38
WDR82P1_hg38,ZFY-AS1_hg38
TJAP1P1_hg38,ENSG00000254201_hg38
ENSG00000274855_hg38,ENSG00000240792_hg38
ENSG00000274903_hg38,PPIAP91_hg38
ENSG00000274930_hg38,ENSG00000250522_hg38
XCL2_hg38,MTFR2P2_hg38
ENSG00000278518_hg38,ENSG00000248540_hg38
ENSG00000283189_hg38,ENSG00000235988_hg38
ENSG00000248199_hg38,MTATP8P1_hg38
ATP5F1AP10_hg38,ENSG00000250626_hg38
LINC02505_hg38,ENSG00000253986_hg38
ENSG00000276693_hg38,ST3GAL1P1_hg38
ENSG00000276680_hg38,MFRP_hg38
ENSG00000248393_hg38,AGKP2_hg38
OR2C1_hg38,CT45A5_hg38
ENSG00000276519_hg38,ENSG00000248571_hg38
ENSG00000248571_hg38,GAPDHP35_hg38
RBBP4P3_hg38,ENSG00000232009_hg38
HRNR_hg38,AGBL4-AS1_hg38
ENSG00000276266_hg38,NRON_hg38
Metazoa_SRP_hg38-79,ENSG00000230843_hg38
FGF10-AS1_hg38,CBX1P3_hg38
ENSG00000248540_hg38,ENSG00000230953_hg38
ENSG00000290454_hg38,MXRA5_hg38
RPL26P37_hg38,ENSG00000237378_hg38
ENSG00000275607_hg38,ENSG00000253115_hg38
